PTS,Age,MP,FG,3P,3PA,eFG%,ORB,TOV,PF,TS%,weight
151.0,30.0,421.0,58.0,23.0,85.0,0.41100000000000003,18.0,36.0,56.0,0.419,225.0
700.0,25.0,1854.0,261.0,91.0,256.0,0.532,50.0,78.0,104.0,0.562,216.0
132.0,21.0,489.0,52.0,12.0,38.0,0.423,11.0,39.0,46.0,0.446,175.0
1446.0,27.0,2678.0,527.0,155.0,436.0,0.484,64.0,134.0,226.0,0.522,225.0
251.0,28.0,680.0,94.0,8.0,41.0,0.436,32.0,50.0,62.0,0.484,186.0
1102.0,27.0,2407.0,495.0,7.0,30.0,0.518,176.0,136.0,182.0,0.5329999999999999,221.0
625.0,19.0,1974.0,260.0,32.0,117.0,0.489,122.0,69.0,144.0,0.504,215.0
1135.0,27.0,2375.0,429.0,13.0,39.0,0.498,177.0,138.0,232.0,0.55,246.0
555.0,22.0,2066.0,225.0,4.0,19.0,0.479,139.0,116.0,153.0,0.519,220.0
22.0,25.0,72.0,7.0,4.0,13.0,0.45,1.0,2.0,3.0,0.506,210.0
582.0,29.0,1951.0,201.0,89.0,258.0,0.486,36.0,64.0,195.0,0.52,195.0
154.0,23.0,384.0,62.0,10.0,46.0,0.396,6.0,33.0,30.0,0.428,180.0
529.0,26.0,1482.0,236.0,0.0,0.0,0.532,169.0,48.0,185.0,0.54,265.0
1035.0,29.0,2502.0,375.0,118.0,333.0,0.491,27.0,116.0,167.0,0.5329999999999999,210.0
382.0,33.0,1270.0,147.0,59.0,142.0,0.499,19.0,75.0,76.0,0.519,200.0
432.0,21.0,1518.0,179.0,1.0,3.0,0.508,142.0,74.0,213.0,0.542,260.0
954.0,30.0,1885.0,344.0,121.0,313.0,0.495,32.0,157.0,189.0,0.534,161.0
167.0,32.0,584.0,61.0,38.0,103.0,0.491,14.0,39.0,53.0,0.501,190.0
767.0,25.0,1482.0,301.0,62.0,200.0,0.529,62.0,79.0,121.0,0.5589999999999999,237.0
113.0,26.0,450.0,45.0,0.0,1.0,0.35700000000000004,28.0,17.0,38.0,0.402,235.0
85.0,24.0,378.0,39.0,4.0,17.0,0.353,11.0,27.0,14.0,0.35700000000000004,175.0
826.0,31.0,2160.0,312.0,130.0,282.0,0.594,20.0,126.0,99.0,0.616,200.0
1440.0,23.0,2598.0,577.0,5.0,28.0,0.541,186.0,185.0,231.0,0.5720000000000001,251.0
83.0,28.0,212.0,35.0,0.0,0.0,0.6729999999999999,14.0,10.0,21.0,0.6629999999999999,210.0
946.0,25.0,2086.0,373.0,1.0,8.0,0.507,242.0,118.0,211.0,0.5479999999999999,228.0
1791.0,24.0,3017.0,604.0,64.0,210.0,0.452,51.0,176.0,197.0,0.532,221.0
132.0,24.0,486.0,53.0,9.0,32.0,0.397,20.0,36.0,77.0,0.42200000000000004,237.0
482.0,29.0,1432.0,161.0,106.0,290.0,0.545,51.0,51.0,137.0,0.569,240.0
